author,published,title,subtitle,url
Kocsmár-Tóth István,2024.06.08. 19:52,"A főpróbát megnyerte, a kényszerből lecserélt Szoboszlait lehet, elvesztette a válogatott",A csapatkapitány szűk 60 perc után kért cserét az idényben több gondot is okozó bal combját fájlalva.,https://index.hu/sport/futball/2024/eb/2024/06/08/magyarorszag-izrael-felkeszulesi-merkozes-europa-bajnoki-foproba-debrecen-nagyerdo/
,,Szoboszlai Dominik: Nem akartam ezt tovább csinálni,"A válogatott csapatkapitány elmondta, milyen állapotban van.",https://index.hu/sport/futball/2024/eb/2024/06/08/felkeszulesi-merkozes-magyarorszag-izrael-nyilatkozatok-marco-rossi-szoboszlai-dominik-bolla-bendeguz/
,,Véget ért Dobrev Klára 36 órás kampánykörútja,Szigetszentmiklóson zárt a DK-MSZP-Párbeszéd listavezetője.,https://index.hu/kulfold/ep/2024/valasztas/2024/06/08/dobrev-klara-dk-mszp-parbeszed-ep-listavezeto-kampanykorut-valasztas/
,,"Krausz Gábor üzent a választóknak, a Békemenet is felvillan a videóban","Azért ment szakácsnak, hogy ne kelljen elmennie sorkatonai szolgálatra.",https://index.hu/fomo/2024/06/08/krausz-gabor-sef-valasztas-szavazas-bekemenet-haboru-beke/
,,"Meghalt egy 13 éves fiú, miután rosszul lett egy komáromi osztálykiránduláson","A gyerekek azon versenyeztek, ki tud tovább víz alatt maradni.",https://index.hu/belfold/2024/06/08/halaleset-komarom-osztalykirandulas-szabadidopark-orszagos-mentoszolgalat/
,,Orbán Ráhel is megosztotta Vitézy Dávid bejegyzését,Közösségi oldalán reklámozta az LMP főpolgármester-jelöltjét.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/karacsony-gergely-vitezy-david-orban-viktor-rahel-kampany/
,,Felhívást tett közzé a rendőrség a választások miatt,Rendkívüli nyitvatartás lesz több határátkelőhelyen.,https://index.hu/kulfold/ep/2024/valasztas/2024/06/08/hataratkelo-megnyitas-valasztas-rendorseg/
Marton Máté,2024.06.08. 19:18,Tekernek a törökök a tagságért egy nemzetközi felmérés szerint,Egyre több uniós és nem uniós állampolgár viszonyul negatívan Brüsszelhez.,https://index.hu/kulfold/2024/06/08/kutatas-europai-unio-velemeny-magyarorszag-nemetorszag-spanyolorszag-lengyelorszag-torokorszag-usa/
,,"Magyarország lett a filmgyártás fellegvára, milliárdokat spórolnak a stúdiók",Csak a Dűne 2. közel 15 milliárd forintos adó-visszatérítést kapott.,https://index.hu/fomo/2024/06/08/magyarorszag-filmgyartas-adokedvezmeny-forgatas/
,,Ötméteres piton nyelt le egy 45 éves nőt Indonéziában,"A helyiek megölték a kígyót, és felhasították a testét.",https://index.hu/belfold/2024/06/08/kigyo-piton-indonezia-halaleset/
,,A Budapest Pride szervezői nem örülnek Vitézy Dávid reakciójának,"Az idei Pride-on nem lesz ott, viszont a 2025-ösön igen, ha megválasztják.",https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/budapest-pride-lmbtq-karacsony-gergely-budapest-kampany-vitezy-david/
,,Karácsony Gergely: A város szabadságának megőrzése a tét,A fővárosi kerületek vezetőivel együtt üzent a választóknak.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/karacsony-gergely-valasztas-budapest-soproni-tamas-piko-andras-niedermuller-peter/
,,"Naptárbaki: Ferencváros polgármestere már szombaton számonkérte követőit, voltak-e szavazni",Azóta gyorsan törölték a posztot.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/baranyi-krisztina-facebook-szavazas-baki-poszt-torles/
,,"Ismét lecsapott az Iszlám Állam, legalább 60 ember meghalt",A terrorszervezet keresztényeket vett célba.,https://index.hu/kulfold/2024/06/08/kongoi-demokratikus-koztarsasag-iszlamista-fegyveresek-iszlam-allam-tamadas/
Szalai Szabolcs,2024.06.08. 18:14,"„A Fidesz fog győzni sajnos, de megszorongatjuk őket!”",A Tisza Párt támogatóit kérdeztük Magyar Péter Hősök terére szervezett tüntetésén a vasárnapi választásról.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/magyar-peter-tisza-part-tuntetes-hosok-tere-valasztas-eredmeny-video/
,,Détár Enikő a válásáról: Nagy törés volt,A színésznő mesélt Rékasi Károly balesetéről és jelenlegi kapcsolatáról is.,https://index.hu/kultur/2024/06/08/detar-eniko-rekasi-karoly-baleset-valas-interju-szinesz-szineszno-szinhaz/
,,"Ez a film akkora marhaság, hogy csak nevetni tudtunk rajta",A kártya okozza a sorozatos haláleseteket.,https://index.hu/kultur/cinematrix/2024/06/08/halalkartya-cinematrix-tarot-kritika/
,,Így készül a történelmi napra az Index,"Minden, amit a választásról tudni érdemes, elérhető az Indexen.",https://index.hu/belfold/2024/06/08/onkormanyzati-valasztas-ep-valasztas-index-jeloltek-kampany-valasztas/
,,"Főpróbát tartott válogatottunk, három góllal győzte le Izraelt",Marco Rossi együttese Debrecenben lépett pályára utolsó felkészülési mérkőzésén.,https://index.hu/sport/futball/2024/eb/2024/06/08/eb-2024-felkeszulesi-merkozes-magyarorszag-izrael-percrol-percre-kozvetites/
Holló Bettina,2024.06.08. 17:19,A pszichiátriai ellátás bukása vagy szélsőséges eset az eutanáziát kérő fiatal nő története?,"A 29 éves nő azután hozta meg a döntését, hogy a szakemberek is lemondtak róla.",https://index.hu/belfold/2024/06/08/zoraya-ter-beek-eutanazia-hollandia-mentalis-betegseg-karsai-daniel/
,,Ezeket az iratokat kell bemutatni a szavazásnál,Idén már nem kell minden választástípus névjegyzékét külön aláírni.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/valasztas-szavazas-europai-parlament-onkormanyzat-szavazolap-alairas/
,,Lázár János videón mutatta be a „telefonbetyárkodását”,Deutsch Tamás és Gulyás Gergely is csatlakozott hozzá.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/lazar-janos-video-telefonbetyar-mozgositas-fidesz-deutsch-tamas-gulyas-gergely/
,,Egy részeg ember zavarta meg az EP-választást Szlovákiában,Nagyszombaton történt az eset.,https://index.hu/kulfold/ep/2024/valasztas/2024/06/08/szlovakia-europai-parlamenti-valasztas-poprad-totmegyer-nagyszombat-rendorseg-incidens-reszeg/
,,Hivatalosan is átadták a Vaskupola magyar lokátorát,Több mint ezer célpontot tudnak követni ezek a lokátorok.,https://index.hu/belfold/2024/06/08/magyar-honvedseg-vaskupola-veszprem-lokator/
,,"Ukrajna döntést hozott, hamarosan új átkelő nyílhat az ukrán–magyar határon",Többéves huzavona végére kerülhet pont.,https://index.hu/kulfold/2024/06/08/ukrajna-denisz-smihal-miniszterelnok-magyarorszag-lengyelorszag-hatarmenti-infrastruktura-fejlesztes-moldova-szlovakia/
,,Ökölvívásban ezt kiütésnek hívják: Swiatek elképesztő fölénnyel nyerte meg a Garrost,Az olasz Paolini mindössze három játékot tudott nyerni a mérkőzésen.,https://index.hu/sport/tenisz/2024/06/08/roland-garros-2024-noi-egyes-donto-iga-swiatek-jasmine-paolini-helyszini-osszefoglalo/
