category,title,subtitle,url
Választás 2024,"Viktor nagy ász, 22 éves kora óta jól csinálja a varázslatot","Békemenettel mutatta meg erejét a Fidesz, ami mintha a kegyelmi ügy óta nem találta volna a saját hangját. Fideszesek üzentek kiábrándult fideszeseknek. Bayer Zsolt is elmondta a tömör véleményét Magyar Péterről.",/valasztas-2024/2024/06/02/bekemenet-2024-orban-viktor-varazstalanodott
Belföld,Pálinkától a könnyekig hatódott Orbánig – így vonult a „béke hangját árasztó” Békemenet,"Orbán Viktor Európa legnagyobb választási győzelme mellett a mozgósítás világrekordját is megígérte szimpatizánsainak a jövő hétre. Képeken, ahogy a Fidesz menetelői kiálltak amellett, hogy „Magyarország maradjon a béke szigete”.",/belfold/2024/06/01/bekemenet-nagykepes
Gazdaság,Vajna Tímea bezárja Andy Vajna egykori holdingcégét,"A NER egyik fő jellemzője, hogy a meghatározó kormányközeli üzletemberek kritikus érdekeltségeit nem az örökösök, vagy az elvált feleségek kapják meg, hanem azok újabb kormányközeli üzletemberhez kerülnek.",/gazdasag/2024/06/02/vajna-timea-ner-andy-vajna-holdingceg-orokos
Észkombájn,"A hitlerszalonna se nem náci, se nem zsír","Miből készülhet az étel, ami a történelem legborzalmasabb figurájának nevét viseli, mivel érdemelhette ki ezt a rettenetes büntetést, és egyáltalán mi az?",/eszkombajn/2024/06/02/a-hitlerszalonna-se-nem-naci-se-nem-zsir
Belföld,Tizenkét határon túli jelölt indul a júniusi önkormányzati választáson,"Nincs magyarországi lakcímük, emiatt ők maguk nem szavazhatnak, de rájuk lehet szavazni.",/belfold/2024/06/02/tizenket-hataron-tuli-jelolt-indul-a-juniusi-onkormanyzati-valasztason
Külföld,Jemeni polgárháború: hajók ellen indított drónokat és rakétákat lőtt le az amerikai hadsereg,Az iráni támogatást élvező hútik a gázai konfliktus alatt növelték a támadások erejét.,/kulfold/2024/06/02/voros-tenger-felett-huszi-dron-raketa-egyesult-allamok
Belföld,"Magyar Péter: Rogán azt mondta, a Vodafone-t nem üzleti okokból, hanem az emberek adatainak megszerzése érdekében vették meg",Ezért fizettek a Vodafone-ért a piaci ár fölötti összeget.,/belfold/2024/06/01/magyar-peter-partizan-rogan-antal-vodafone
Techtud,Hamarosan saját italunkat is bevihetjük majd a reptérre,,/techtud/2024/06/01/ujfajta-atvilagitasi-modszer-teszi-lehetove-hamarosan-hogy-sajat-italunkkal-szalljunk-repulore
After,Benedict Cumberbatch megint nagyon mélyre megy,"Elizabeth Moss kiismerhetetlen titkosügynököt játszik, a poptörténet legnagyobb átveréséről pedig még mindig lehet újat mondani. Streamingajánló felkavaró magyar dokuval és Wim Wenders meditatív filmjével.",/after/2024/06/02/streamingajanlo-the-veil-eric-emma-es-eddie-milli-vanilli
Belföld,"Hazaárulózás, orbánozás és rengeteg reklám – így telt az ATV EP-listavezetői vitája",,/belfold/2024/06/01/vita-atv-ep-listavazetok-dobrev-donath-le-marietta-toroczkai
